UserId,ScreenName,EnglishScore,UniversalScore
1194028124,brianna_brauns,0.22,0.2
4442301557,OuterSpace_Vape,0.7666666666666667,0.85
4855026431,VapeTampaBay,0.63,0.63
1100294132,shantmalviya,0.15,0.08
53930102,kleristonkolive,0.41,0.23
357112374,AxonJaxon98,0.12,0.09
721945352434098176,rinosmokeshop,0.63,0.9
1240186843,daniellefrady_,0.2,0.18
30799931,tiavapes,0.42,0.35
38614922,mraugie,0.5,0.56
2681846210,VapeDon,0.38,0.41
30642860,kkazantzoglou,0.47,0.54
841242868832436224,vapetraveller,0.32,0.31
2555672479,vsgarzi,0.55,0.26
1273220827,oldschoolandyy,0.4,0.39
64588252,GayCapeMan,0.33,0.29
1040134712,stephh_bray,0.33,0.35
719949912054566912,JakobRusbjerg,0.49,0.4
155601078,basilmat,0.33,0.4
836113229180878848,betty26088422,0.54,0.46
326898965,SHOTTABWOYZEEKO,0.16,0.07
372053660,Pittaya15,0.62,0.65
484446664,oohitsmikey,0.19,0.24
3348429855,methademicx,0.18,0.15
789349120532111360,VlonePugs,0.09,0.11
2188254785,therealsosa03,0.21,0.05
401720273,ReiLaurent,0.27,0.16
2255713794,mluberski,0.11,0.13
2322935604,VSSBiscayne,0.57,0.455
443383058,__Rickyy__,0.09,0.07
332707603,DavidJasonPerez,0.51,0.59
3004217368,E_Tobacconist,0.54,0.43
2905509677,bhs_ri,0.46,0.41
3249514958,BuyEcigSmoker,0.63,0.53
15653545,SMEHarbinger,0.58,0.5
492689747,alxandracooper,0.09,0.04
2173013660,Robert_122135,0.23,0.09
2764869271,Therealpickn,0.12,0.05
2983377258,vapechannel,0.55,0.45
369803212,Dee9996,0.33,0.2
2907885751,832Davidm,0.23,0.36
435502647,kflightt,0.28,0.26
45438036,realshittroyyy,0.16,0.16
2529273490,nicelilguy,0.2,0.18
1562049343,LiamB1123,0.17,0.18
550402284,UncleLuna,0.13,0.15
768594653167833088,NurturePedi,0.44,0.16
1140738235,sabrewatcher,0.19,0.15
2783041093,chocolateemoose,0.04,0.01
63801557,UncIeZay,0.15,0.1
2228646851,ttsiolas21,0.18,0.1
4855593304,vapegodsam,0.4,0.23
2685955586,kaiwilliamss,0.29,0.23
612707176,AlanaReick,0.31,0.14
261943077,ddinardi,0.14,0.07
55632729,CarlyRaeMarie_,0.03,0.02
1213634642,Animal_19,0.31,0.13
566463198,mickatoad,0.54,0.6
118811208,Liberalles,0.24,0.16
700494451039412224,Z_Mans_awesome,0.2,0.17
486975171,drewkingsbury_,0.26,0.14
338423317,TylerClarkTalks,0.08,0.08
635468914,jasmend0za,0.25,0.11
718561256,MrDMajor_,0.18,0.08
2181298458,waringtweets,0.14,0.12
796748438624997376,THEOFFICIALMTB,0.14,0.11
2215407589,snehalataj,0.49,0.39
4287358698,oyebabby,0.47,0.46
2371937838,sawlomein,0.41,0.34
2925826748,MichelleWangMK,0.72,0.73
977237996,kunalvermaaa,0.14,0.15
1615839925,sirflexallot,0.29,0.27
4692722892,ChrisJamesQ,0.19,0.15
4531101323,TokerGal,0.6833333333333332,0.6
855835633,ashleeriveraa,0.31,0.1
174629396,PompeyHuss,0.19,0.11
2280089497,JaredMonteiro,0.18,0.14
587592366,bbhNYC,0.6,0.54
3601282394,BeauGo4th,0.19,0.13
3208377833,milad_faraj,0.09,0.06
545171828,willdaniel_tx,0.35,0.31
892710211,kylxr,0.08,0.08
2918018660,JUULvapor,0.48,0.39
1887139968,emma_rogers12,0.34,0.16
603503857,ethanrocket,0.07,0.04
3108772418,BrandynMiller7,0.15,0.15
225195022,Laino257,0.06,0.1
1388619289,ArabianMango,0.18,0.15
408010097,MatthewSitto,0.13,0.04
3090364174,katie_setter,0.23,0.09
1546538852,funkxwidme,0.3,0.25
787275860,DerrickDDixon,0.48,0.32
1214542952,Dietz__Tweetz,0.15,0.13
1142517306,MaxDAntonio3,0.14,0.1
55459244,ninjaphi,0.14,0.14
3249562459,claudeeoh,0.12,0.1
4659152443,andrew_camaj,0.21,0.17
1159710516,TrendStyleDaily,0.33,0.48
4856648742,pepper_crust,0.26,0.15
1580417726,samquisha,0.32,0.29
3751260260,basiccolee,0.39,0.21
2435909264,_wm_f,0.15,0.13
193514235,AustinBlaise6,0.2,0.17
3730936285,arixwright,0.4,0.24
3254642820,Tommy01210121,0.19,0.09
1683757152,ericbroomes,0.19,0.24
847499854074888193,citadelgTV,0.47,0.44
4412124973,haless_yaahhh,0.3,0.22
412658422,AlexxZdrinca,0.29,0.16
1239573698,paolaagalaz,0.19,0.14
498174690,tollsie12,0.1375,0.17
2536203106,jesusraz15,0.17,0.14
2880125947,Mini_Meis88,0.24,0.08
2271205423,_annatrojahn,0.11,0.08
736379404939452416,Adi_Cute13,0.44,0.34
1032086778,AToshimi,0.33,0.27
1096301418,kinglevnar,0.18,0.13
324691605,GDublius,0.12,0.03
2394444745,JYoungCP,0.32,0.3
758480435903131648,WTBarod,0.27,0.2
1481434585,sillybri18,0.24,0.06
797126304,lexiiiiv,0.25,0.29
535000511,Darren_Wiley,0.08,0.12
243810212,_ianWK,0.13,0.13
2186737325,k_ajima,0.42,0.2
1120175294,Fothron,0.14,0.18
761314709828231169,ggoldstein1114,0.23,0.04
3331903121,fusilada_,0.24,0.18
139480646,Advocaat_Jurist,0.67,0.81
3153290555,VUClassifieds,0.32,0.26
3196451855,VapeDealBot,0.4,0.19
4118947093,lolatrif,0.23,0.21
3017959310,julienhicks_,0.37,0.38
383377499,jessiehammer,0.19,0.15
4060851732,GeraldHayess,0.58,0.36
2752293826,SemajThaGoon,0.08,0.16
985083824,kivnvh,0.25,0.26
3154055704,JouwradioMuziek,0.44,0.29
2953385450,Benz_pirapong,0.44,0.31
49935458,marijnfietst,0.37,0.27
754019529009889281,michael_deniet,0.3,0.13
473639423,OHYEAH_THOMAS,0.16,0.15
1494860179,SeanMontijo,0.2,0.18
1049910602,WoahItsBryanaa,0.28,0.15
286001697,LaraFraser_,0.25,0.23
2896790226,charIottemia,0.37,0.19
478279884,madflozie,0.15,0.03
2383978682,sunshinemorrin,0.31,0.19
824457452359942144,PogoAarhus,0.29,0.17
254035682,kindermodeblog,0.44,0.486
829524216,drgsandcandy,0.26,0.22
17616840,elkar,0.31,0.2
1687521895,_Kinderrechte_,0.43,0.31
40849378,blogdudimanche_,0.26,0.33
1927193227,SAC_NYC,0.32,0.29
544950865,BerlinFashFilm,0.5,0.46
189976253,TravServicedk,0.39,0.42
3380983639,samsmithxbae,0.26,0.18
23908185,nnit,0.48,0.42
2421477222,c_goldsmith10,0.25,0.15
851428722678923264,ToysStoryImex,0.39,0.3
997524846,beccalippincott,0.33,0.15
1914828000,lyssCOOLman,0.26,0.28
1137222242,FinnaTyler,0.13,0.12
3097585751,NoahOrtolano,0.3,0.31
1929210139,brookstheseale,0.11,0.14
381322710,kt_cereal,0.17,0.1
4745262649,IAmZoeSmith,0.29,0.23
847631744899489793,juuhurdd,0.17,0.14
842130884,sojuul,0.33,0.27
347536841,domcarpentieri,0.24,0.21
3087233298,TIERSKELLL,0.39,0.25
2934352665,okokmaggie,0.25,0.17
2276508654,Ashish_Zazzle,0.36,0.25
55795689,00best77,0.78,0.7733333333333334
2180604308,avabartlow,0.31,0.22
1700234029,rainsnowhailz,0.12,0.14
2741468003,nuggyjan,0.08,0.04
2368927238,HanaLashin,0.23,0.17
1363099692,OGjuicyjones,0.32,0.17
63939808,ZelfVerkopen,0.35,0.45
1649107502,jake_wright1414,0.26,0.1
2936688624,danidothedishes,0.3,0.13
331152499,Parker0678,0.15,0.15
796627621,tyjo1710,0.21,0.09
3131275084,ClassifiedEcigs,0.33,0.1
554588816,Bsow_,0.2475,0.24
2586847218,kynleeshea,0.29,0.27
372294681,MAEJBS,0.27,0.11
906920323,horitamichael,0.11,0.06
272519691,Ferro2,0.13,0.2
